NPI,lst_nm,frst_nm,source,Quality_category_score,PI_category_score,IA_category_score,final_MIPS_score_without_CPB,final_MIPS_score
1043246978,DUNN,WILLIAM,apm,100,76.2,40,92.9,100
1053306589,PEARCE,THOMAS,apm,100,79.9,40,94,99.3
1003843970,CHARITON,JOEL,individual,,,,45,45
1013001619,PLISS,LAWRENCE,individual,,,,45,45
1013029651,RISK,CLIFFORD,individual,,,,45,45
1013906171,TARR,BRYANT,individual,,,,45,45
1033323258,WOODBURY,ROBERT,individual,100,,40,100,100
1053335083,PATEL,SANJAY,individual,,,,45,45
1063416683,RESNICK,LONNIE,individual,,,,45,45
1063461408,SAULS,RAYMOND,apm,100,76.2,40,92.9,100
1083918577,KELTON,MELANIE,apm,100,78.1,40,93.4,99
1104871888,BREIER,RICHARD,apm,100,78.1,40,93.4,99
1104884089,KALIL,ARTHUR,individual,,,,45,45
1104922202,COTTER,JANIS,individual,,95,40,95.8,100
1114933611,HACKER,RICHARD,individual,,,,45,45
1124011457,WASSER,LARRY,apm,100,85.3,40,95.6,100
1124102546,KELLY,MICHAEL,apm,97.4,84.9,40,94.2,100
1134105414,RUBIN,BURTON,apm,100,78.1,40,93.4,99
1144255332,NOTARO,WILLIAM,apm,100,85.3,40,95.6,100
1144409749,DWYER,JAMES,individual,,,,45,45
1154302065,ROZAK,STEVEN,apm,100,76.2,40,92.9,100
1154385078,BUTLER,MATTHEW,individual,,,,45,45
1174562177,DUFAULT,PAUL,apm,100,76.2,40,92.9,100
1184601007,ZHANG,CHI,individual,,,,45,45
1194774315,TUFTS,ROBERT,apm,100,79.9,40,94,99.3
1205822905,FULLERTON,ALBERT,individual,,,,45,45
1215019435,COLSEN,SEAN,individual,,,,45,45
1255301891,CATALDO,JAMES,individual,,,,45,45
1255330395,PRONER,SANFORD,individual,,,,45,45
1265464945,YLAGAN,VICTOR,apm,100,85.3,40,95.6,100
1275577355,BLUM,THEODORE,apm,100,85.3,40,95.6,100
1285614099,ELPERN,DAVID,individual,,,,45,45
1306844220,SIMOVIC,DRASKO,individual,,,,45,45
1316042104,RUXIN,ROBERT,individual,86.1,81,40,86.6,90.9
1316907249,DOMBEK,ZBIGNIEW,apm,100,76.2,40,92.9,100
1316977242,CASTIGLIONE,FRANK,apm,100,78.1,40,93.4,99
1326155110,GAMER,NANCY,group,93.9,0,0,51.7,58.4
1346358744,SIMKOVITZ,PHILIP,apm,100,78.2,40,93.5,100
1356308555,HERRICK,TIMOTHY,individual,,,,45,45
1356485999,FITZGERALD,WILLIAM,apm,100,78.2,40,93.5,100
1407822992,RESNICK,JEFFREY,individual,40,100,40,67,71.7
1417965369,JEDRZYNSKI,MICHAEL,individual,,,,45,45
1427015379,FRIEDMAN,WILLIAM,apm,100,76.2,40,92.9,100
1427041136,NI,OSCAR,individual,70.1,84,40,78.8,83.1
1437130366,YOUNG,EDWIN,apm,100,76.2,40,92.9,100
