NPI,lst_nm,frst_nm,measure_cd,measure_title,attestation_value,patient_count,star_value,collection_type
1003037300,BRAND,STEPHEN,IA_EC_AHE_1,Engagement of New Medicaid Patients and Follow-up,Y,,,
1013174697,VITALE,MARK,IA_EC_AHE_1,Engagement of New Medicaid Patients and Follow-up,Y,,,
1013994748,HOMA,JOHN,IA_EC_AHE_1,Engagement of New Medicaid Patients and Follow-up,Y,,,
1043492028,COYLE,BRIAN,IA_EC_AHE_1,Engagement of New Medicaid Patients and Follow-up,Y,,,
1053344424,FERNEINI,ANTOINE,IA_EC_AHE_1,Engagement of New Medicaid Patients and Follow-up,Y,,,
1063706232,BERLINER,JONATHAN,IA_EC_AHE_1,Engagement of New Medicaid Patients and Follow-up,Y,,,
1083686950,KAVANAGH,BRIAN,IA_EC_AHE_1,Engagement of New Medicaid Patients and Follow-up,Y,,,
1093771669,KARPELMAN,HERBERT,IA_EC_AHE_1,Engagement of New Medicaid Patients and Follow-up,Y,,,
1144200031,ENNIS,FRANCIS,IA_EC_AHE_1,Engagement of New Medicaid Patients and Follow-up,Y,,,
1144217670,KOFF,AMY,IA_EC_AHE_1,Engagement of New Medicaid Patients and Follow-up,Y,,,
1144514522,FERGUSON,ADAM,IA_EC_AHE_1,Engagement of New Medicaid Patients and Follow-up,Y,,,
1144546888,CANTLON,MATTHEW,IA_EC_AHE_1,Engagement of New Medicaid Patients and Follow-up,Y,,,
1174500953,GERANIOTIS,EVANGELOS,IA_EC_AHE_1,Engagement of New Medicaid Patients and Follow-up,Y,,,
1194968321,WEI,DAVID,IA_EC_AHE_1,Engagement of New Medicaid Patients and Follow-up,Y,,,
1205823515,GRIGER,DONALD,IA_EC_AHE_1,Engagement of New Medicaid Patients and Follow-up,Y,,,
1215194105,COVEY,AARON,IA_EC_AHE_1,Engagement of New Medicaid Patients and Follow-up,Y,,,
1225395783,YAKAVONIS,MARK,IA_EC_AHE_1,Engagement of New Medicaid Patients and Follow-up,Y,,,
1255303764,MILLER,SETH,IA_EC_AHE_1,Engagement of New Medicaid Patients and Follow-up,Y,,,
1255395851,HUMMEL,CHRISTOPHER,IA_EC_AHE_1,Engagement of New Medicaid Patients and Follow-up,Y,,,
1265490775,ARMSTRONG,RICHARD,IA_EC_AHE_1,Engagement of New Medicaid Patients and Follow-up,Y,,,
1275554438,PARET,RONALD,IA_EC_AHE_1,Engagement of New Medicaid Patients and Follow-up,Y,,,
1295712925,HARTNETT,ROBERT,IA_EC_AHE_1,Engagement of New Medicaid Patients and Follow-up,Y,,,
1346211703,CUNNINGHAM,JAMES,IA_EC_AHE_1,Engagement of New Medicaid Patients and Follow-up,Y,,,
1346263456,KOLSTAD,LEONARD,IA_EC_AHE_1,Engagement of New Medicaid Patients and Follow-up,Y,,,
1346289337,AHMED,ZAHEER,IA_EC_AHE_1,Engagement of New Medicaid Patients and Follow-up,Y,,,
1386667574,DRISCOLL,JON,IA_EC_AHE_1,Engagement of New Medicaid Patients and Follow-up,Y,,,
1396949582,BEECHER,HENRY,IA_EC_AHE_1,Engagement of New Medicaid Patients and Follow-up,Y,,,
1407822992,RESNICK,JEFFREY,IA_EC_AHE_1,Engagement of New Medicaid Patients and Follow-up,Y,,,
1407879521,PRAVDA,JEFFREY,IA_EC_AHE_1,Engagement of New Medicaid Patients and Follow-up,Y,,,
1417151457,VADASDI,KATHERINE,IA_EC_AHE_1,Engagement of New Medicaid Patients and Follow-up,Y,,,
1417990136,CHAUHAN,APARNA,IA_EC_AHE_1,Engagement of New Medicaid Patients and Follow-up,Y,,,
1457445876,VINAGRE,MICHELLE,IA_EC_AHE_1,Engagement of New Medicaid Patients and Follow-up,Y,,,
1487601175,ADLAKHA,PURNIMA,IA_EC_AHE_1,Engagement of New Medicaid Patients and Follow-up,Y,,,
1497790026,DENATALE,RALPH,IA_EC_AHE_1,Engagement of New Medicaid Patients and Follow-up,Y,,,
1508029836,HALASAN,KAREN,IA_EC_AHE_1,Engagement of New Medicaid Patients and Follow-up,Y,,,
1508875451,HABASHY,WAGDY,IA_EC_AHE_1,Engagement of New Medicaid Patients and Follow-up,Y,,,
1528225414,DELOS,DEMETRIS,IA_EC_AHE_1,Engagement of New Medicaid Patients and Follow-up,Y,,,
1578536025,SETHI,PAUL,IA_EC_AHE_1,Engagement of New Medicaid Patients and Follow-up,Y,,,
1598772766,SCHRAGER,ALAN,IA_EC_AHE_1,Engagement of New Medicaid Patients and Follow-up,Y,,,
1609036961,MARKWITH,ANDREW,IA_EC_AHE_1,Engagement of New Medicaid Patients and Follow-up,Y,,,
1629036868,PECK,BRIAN,IA_EC_AHE_1,Engagement of New Medicaid Patients and Follow-up,Y,,,
1629188131,MCDERMOTT,PATRICK,IA_EC_AHE_1,Engagement of New Medicaid Patients and Follow-up,Y,,,
1649253931,STEVENS,MICHAEL,IA_EC_AHE_1,Engagement of New Medicaid Patients and Follow-up,Y,,,
1669411104,ANWAR,MOHAMMED,IA_EC_AHE_1,Engagement of New Medicaid Patients and Follow-up,Y,,,
1679648281,DETTMER,ROBERT,IA_EC_AHE_1,Engagement of New Medicaid Patients and Follow-up,Y,,,
1679884779,NIELSEN,NATALIE,IA_EC_AHE_1,Engagement of New Medicaid Patients and Follow-up,Y,,,
1699941823,KOWALSKY,MARC,IA_EC_AHE_1,Engagement of New Medicaid Patients and Follow-up,Y,,,
1730101635,ZOMBACK,NEAL,IA_EC_AHE_1,Engagement of New Medicaid Patients and Follow-up,Y,,,
1750372272,FETTINGER,PATRICK,IA_EC_AHE_1,Engagement of New Medicaid Patients and Follow-up,Y,,,
1760453336,CLAIN,MICHAEL,IA_EC_AHE_1,Engagement of New Medicaid Patients and Follow-up,Y,,,
1780657213,LERTORA,JOHN,IA_EC_AHE_1,Engagement of New Medicaid Patients and Follow-up,Y,,,
1780724971,WANG,FANG,IA_EC_AHE_1,Engagement of New Medicaid Patients and Follow-up,Y,,,
1790841310,KOWAL,BRIAN,IA_EC_AHE_1,Engagement of New Medicaid Patients and Follow-up,Y,,,
1821034117,RYAN,RAYMOND,IA_EC_AHE_1,Engagement of New Medicaid Patients and Follow-up,Y,,,
1831145549,ONYIRIMBA,FAUSTINUS,IA_EC_AHE_1,Engagement of New Medicaid Patients and Follow-up,Y,,,
1841309192,ANSARI,SAIMA,IA_EC_AHE_1,Engagement of New Medicaid Patients and Follow-up,Y,,,
1841455664,REYES,JOSE,IA_EC_AHE_1,Engagement of New Medicaid Patients and Follow-up,Y,,,
1861678542,GREENE,RONALD,IA_EC_AHE_1,Engagement of New Medicaid Patients and Follow-up,Y,,,
1891998423,HAKIM-ZARGAR,MARIAM,IA_EC_AHE_1,Engagement of New Medicaid Patients and Follow-up,Y,,,
1952356875,CONNORS,PAMELA,IA_EC_AHE_1,Engagement of New Medicaid Patients and Follow-up,Y,,,
1952397325,SILVERMAN,ANDREW,IA_EC_AHE_1,Engagement of New Medicaid Patients and Follow-up,Y,,,
1952746836,CHOO,KEVIN,IA_EC_AHE_1,Engagement of New Medicaid Patients and Follow-up,Y,,,
1013174697,VITALE,MARK,IA_EC_AHE_3,Promote Use of Patient-Reported Outcome Tools,Y,,,
1013393057,ALEXANDER,KEVIN,IA_EC_AHE_3,Promote Use of Patient-Reported Outcome Tools,Y,,,
1013446525,DOWD,KELLY,IA_EC_AHE_3,Promote Use of Patient-Reported Outcome Tools,Y,,,
1023417698,LOSTRITTO,ANGELA,IA_EC_AHE_3,Promote Use of Patient-Reported Outcome Tools,Y,,,
1033497052,SCUNCIO,JENNIFER,IA_EC_AHE_3,Promote Use of Patient-Reported Outcome Tools,Y,,,
1033541586,GARLICK,JOHN,IA_EC_AHE_3,Promote Use of Patient-Reported Outcome Tools,Y,,,
1053840868,GLASSMAN,MICHAEL,IA_EC_AHE_3,Promote Use of Patient-Reported Outcome Tools,Y,,,
1063706232,BERLINER,JONATHAN,IA_EC_AHE_3,Promote Use of Patient-Reported Outcome Tools,Y,,,
1063795920,ROY,JESSICA,IA_EC_AHE_3,Promote Use of Patient-Reported Outcome Tools,Y,,,
1063936060,WEIL,LAUREN,IA_EC_AHE_3,Promote Use of Patient-Reported Outcome Tools,Y,,,
1083686950,KAVANAGH,BRIAN,IA_EC_AHE_3,Promote Use of Patient-Reported Outcome Tools,Y,,,
1083696579,STARE,MICHAEL,IA_EC_AHE_3,Promote Use of Patient-Reported Outcome Tools,Y,,,
1083958243,MELROY,KAYLEIGH,IA_EC_AHE_3,Promote Use of Patient-Reported Outcome Tools,Y,,,
1093062804,GRUTTADAURIA,ROBERT,IA_EC_AHE_3,Promote Use of Patient-Reported Outcome Tools,Y,,,
1093065104,PARENT,DANIELLE,IA_EC_AHE_3,Promote Use of Patient-Reported Outcome Tools,Y,,,
1093362501,KATSOS,LEAH,IA_EC_AHE_3,Promote Use of Patient-Reported Outcome Tools,Y,,,
1104173277,MONTEIRO,LEANNE,IA_EC_AHE_3,Promote Use of Patient-Reported Outcome Tools,Y,,,
1104431295,RAFANELLI,KATHLEEN,IA_EC_AHE_3,Promote Use of Patient-Reported Outcome Tools,Y,,,
1104897784,HINDMAN,STEVEN,IA_EC_AHE_3,Promote Use of Patient-Reported Outcome Tools,Y,,,
1114326808,MACERA,LAUREN,IA_EC_AHE_3,Promote Use of Patient-Reported Outcome Tools,Y,,,
1114574860,ARCAND,LINDSEY,IA_EC_AHE_3,Promote Use of Patient-Reported Outcome Tools,Y,,,
1114978889,WALKER,JONATHAN,IA_EC_AHE_3,Promote Use of Patient-Reported Outcome Tools,Y,,,
1124488796,SULLIVAN,AMY,IA_EC_AHE_3,Promote Use of Patient-Reported Outcome Tools,Y,,,
1144200031,ENNIS,FRANCIS,IA_EC_AHE_3,Promote Use of Patient-Reported Outcome Tools,Y,,,
1144546888,CANTLON,MATTHEW,IA_EC_AHE_3,Promote Use of Patient-Reported Outcome Tools,Y,,,
1144656166,PEZICK,JUSTIN,IA_EC_AHE_3,Promote Use of Patient-Reported Outcome Tools,Y,,,
1144709114,BROCCOLO,JAKE,IA_EC_AHE_3,Promote Use of Patient-Reported Outcome Tools,Y,,,
