pri_spec,zip_code,min_medicare_pricing_for_new_patient,max_medicare_pricing_for_new_patient,mode_medicare_pricing_for_new_patient,min_copay_for_new_patient,max_copay_for_new_patient,mode_copay_for_new_patient
ANESTHESIOLOGY,02879,$61.15 ,$184.89 ,$140.08 ,$15.29 ,$46.22 ,$35.02 
ANESTHESIOLOGY,02886,$61.15 ,$184.89 ,$140.08 ,$15.29 ,$46.22 ,$35.02 
ANESTHESIOLOGY,02891,$61.15 ,$184.89 ,$140.08 ,$15.29 ,$46.22 ,$35.02 
ANESTHESIOLOGY,02895,$61.15 ,$184.89 ,$140.08 ,$15.29 ,$46.22 ,$35.02 
ANESTHESIOLOGY,02903,$61.15 ,$184.89 ,$140.08 ,$15.29 ,$46.22 ,$35.02 
ANESTHESIOLOGY,02904,$61.15 ,$184.89 ,$140.08 ,$15.29 ,$46.22 ,$35.02 
ANESTHESIOLOGY,02905,$61.15 ,$184.89 ,$140.08 ,$15.29 ,$46.22 ,$35.02 
ANESTHESIOLOGY,02906,$61.15 ,$184.89 ,$140.08 ,$15.29 ,$46.22 ,$35.02 
ANESTHESIOLOGY,02908,$61.15 ,$184.89 ,$140.08 ,$15.29 ,$46.22 ,$35.02 
ANESTHESIOLOGY,02917,$61.15 ,$184.89 ,$140.08 ,$15.29 ,$46.22 ,$35.02 
ANESTHESIOLOGY,02919,$61.15 ,$184.89 ,$140.08 ,$15.29 ,$46.22 ,$35.02 
ANESTHESIOLOGY,02780,$61.33 ,$185.13 ,$140.29 ,$15.33 ,$46.28 ,$35.07 
ANESTHESIOLOGY,02840,$61.15 ,$184.89 ,$140.08 ,$15.29 ,$46.22 ,$35.02 
ANESTHESIOLOGY,02860,$61.15 ,$184.89 ,$140.08 ,$15.29 ,$46.22 ,$35.02 
ANESTHESIOLOGY,01002,$61.33 ,$185.13 ,$140.29 ,$15.33 ,$46.28 ,$35.07 
ANESTHESIOLOGY,01040,$61.33 ,$185.13 ,$140.29 ,$15.33 ,$46.28 ,$35.07 
ANESTHESIOLOGY,01060,$61.33 ,$185.13 ,$140.29 ,$15.33 ,$46.28 ,$35.07 
ANESTHESIOLOGY,01082,$61.33 ,$185.13 ,$140.29 ,$15.33 ,$46.28 ,$35.07 
ANESTHESIOLOGY,01085,$61.33 ,$185.13 ,$140.29 ,$15.33 ,$46.28 ,$35.07 
ANESTHESIOLOGY,01089,$61.33 ,$185.13 ,$140.29 ,$15.33 ,$46.28 ,$35.07 
ANESTHESIOLOGY,01104,$61.33 ,$185.13 ,$140.29 ,$15.33 ,$46.28 ,$35.07 
ANESTHESIOLOGY,01107,$61.33 ,$185.13 ,$140.29 ,$15.33 ,$46.28 ,$35.07 
ANESTHESIOLOGY,01118,$61.33 ,$185.13 ,$140.29 ,$15.33 ,$46.28 ,$35.07 
ANESTHESIOLOGY,01199,$61.33 ,$185.13 ,$140.29 ,$15.33 ,$46.28 ,$35.07 
ANESTHESIOLOGY,01201,$61.33 ,$185.13 ,$140.29 ,$15.33 ,$46.28 ,$35.07 
ANESTHESIOLOGY,01230,$61.33 ,$185.13 ,$140.29 ,$15.33 ,$46.28 ,$35.07 
ANESTHESIOLOGY,01301,$61.33 ,$185.13 ,$140.29 ,$15.33 ,$46.28 ,$35.07 
ANESTHESIOLOGY,01331,$61.33 ,$185.13 ,$140.29 ,$15.33 ,$46.28 ,$35.07 
ANESTHESIOLOGY,01440,$61.33 ,$185.13 ,$140.29 ,$15.33 ,$46.28 ,$35.07 
ANESTHESIOLOGY,01432,$66.29 ,$197.76 ,$150.05 ,$16.57 ,$49.44 ,$37.51 
ANESTHESIOLOGY,01453,$61.33 ,$185.13 ,$140.29 ,$15.33 ,$46.28 ,$35.07 
ANESTHESIOLOGY,01545,$61.33 ,$185.13 ,$140.29 ,$15.33 ,$46.28 ,$35.07 
ANESTHESIOLOGY,01550,$61.33 ,$185.13 ,$140.29 ,$15.33 ,$46.28 ,$35.07 
ANESTHESIOLOGY,01566,$61.33 ,$185.13 ,$140.29 ,$15.33 ,$46.28 ,$35.07 
ANESTHESIOLOGY,01605,$61.33 ,$185.13 ,$140.29 ,$15.33 ,$46.28 ,$35.07 
ANESTHESIOLOGY,01608,$61.33 ,$185.13 ,$140.29 ,$15.33 ,$46.28 ,$35.07 
ANESTHESIOLOGY,01655,$61.33 ,$185.13 ,$140.29 ,$15.33 ,$46.28 ,$35.07 
ANESTHESIOLOGY,01702,$66.29 ,$197.76 ,$150.05 ,$16.57 ,$49.44 ,$37.51 
ANESTHESIOLOGY,01720,$66.29 ,$197.76 ,$150.05 ,$16.57 ,$49.44 ,$37.51 
ANESTHESIOLOGY,01742,$66.29 ,$197.76 ,$150.05 ,$16.57 ,$49.44 ,$37.51 
ANESTHESIOLOGY,01752,$66.29 ,$197.76 ,$150.05 ,$16.57 ,$49.44 ,$37.51 
ANESTHESIOLOGY,01757,$61.33 ,$185.13 ,$140.29 ,$15.33 ,$46.28 ,$35.07 
ANESTHESIOLOGY,01801,$66.29 ,$197.76 ,$150.05 ,$16.57 ,$49.44 ,$37.51 
ANESTHESIOLOGY,01803,$66.29 ,$197.76 ,$150.05 ,$16.57 ,$49.44 ,$37.51 
ANESTHESIOLOGY,01805,$66.29 ,$197.76 ,$150.05 ,$16.57 ,$49.44 ,$37.51 
ANESTHESIOLOGY,01810,$61.33 ,$185.13 ,$140.29 ,$15.33 ,$46.28 ,$35.07 
ANESTHESIOLOGY,01824,$66.29 ,$197.76 ,$150.05 ,$16.57 ,$49.44 ,$37.51 
ANESTHESIOLOGY,01830,$61.33 ,$185.13 ,$140.29 ,$15.33 ,$46.28 ,$35.07 
ANESTHESIOLOGY,01843,$61.33 ,$185.13 ,$140.29 ,$15.33 ,$46.28 ,$35.07 
ANESTHESIOLOGY,01844,$61.33 ,$185.13 ,$140.29 ,$15.33 ,$46.28 ,$35.07 
ANESTHESIOLOGY,01845,$61.33 ,$185.13 ,$140.29 ,$15.33 ,$46.28 ,$35.07 
ANESTHESIOLOGY,01851,$66.29 ,$197.76 ,$150.05 ,$16.57 ,$49.44 ,$37.51 
ANESTHESIOLOGY,01852,$66.29 ,$197.76 ,$150.05 ,$16.57 ,$49.44 ,$37.51 
ANESTHESIOLOGY,01890,$66.29 ,$197.76 ,$150.05 ,$16.57 ,$49.44 ,$37.51 
